report_pid,title,report_start_time,report_end_time,open_file_date,type,report_owner,commodity
cr043584,"EPM 14040, KAHKO, ANNUAL REPORT FOR PERIOD ENDING 20/4/2006",20/04/2005,19/04/2006,20/05/2011,permit-report-annual,SUMMIT RESOURCES AUST PTY LTD,"gold,copper,lead,uranium,zinc"
cr043586,"EPM 14618, ONE MILE CREEK LIME PROJECT, ANNUAL REPORT FOR PERIOD ENDING 30/5/2006",30/05/2005,29/05/2006,30/06/2011,permit-report-annual,COLIN ROBINSON CONSULTING,"lime,limestone"
cr043587,"EPM 14804, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 7/8/2006",7/08/2005,6/08/2006,7/09/2011,permit-report-annual,INTERMIN RESOURCES LTD,"molybdenum,vanadium"
cr043588,"EPM 9442, 9777, 10006, 10132, 11726, 11727, 12353, 12546, SOUTH CONNORS ARCH, COMBINED ANNUAL REPORT FOR PERIOD ENDING 30/6/2006",30/06/2005,29/06/2006,30/07/2011,permit-report-annual,SMARTTRANS HOLDINGS LTD,"gold,copper"
cr043599,"EPC 761, DOWNS PROJECT, ANNUAL REPORT FOR PERIOD ENDING 16/12/2005",16/12/2004,15/12/2005,16/01/2011,permit-report-annual,NEW HOPE COAL AUSTRALIA,coal
cr043600,"EPC 919, DOWNS PROJECT, ANNUAL REPORT FOR PERIOD ENDING 3/3/2006",3/03/2005,2/03/2006,3/04/2011,permit-report-annual,NEW HOPE COAL AUSTRALIA,coal
cr043604,"EPM 13272, MOUNT GARNET WEST, ANNUAL REPORT FOR PERIOD 9/3/2005 TO 8/3/2006",8/03/2005,7/03/2006,8/04/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,"copper,lead,zinc"
cr043607,"EPC 682 (WEST BURTON), 708 (WEST BURTON EXTENDED), 836 (NORTH BURTON), COMBINED ANNUAL REPORT FOR PERIOD ENDING 27/8/2006",27/08/2005,26/08/2006,27/09/2011,permit-report-annual,LANCE GRIMSTONE & ASSOCIATES PTY LTD,coal
cr043609,"EPC 830, ISAAC RIVER, ANNUAL REPORT FOR PERIOD ENDING 8/7/2006",8/07/2005,7/07/2006,8/08/2011,permit-report-annual,RAY SLATER & ASSOCIATES PTY LTD,coal
cr043610,"EPC 865, LENTON PROJECT, ANNUAL REPORT FOR PERIOD ENDING 7/6/2006",7/06/2005,6/06/2006,7/07/2011,permit-report-annual,NEW HOPE COAL AUSTRALIA,coal
cr043663,"EPM 14518, MOUNT GARNET SOUTH 2, ANNUAL REPORT FOR PERIOD ENDING 8/3/2006",8/03/2005,7/03/2006,8/04/2011,permit-report-annual,METALLICA MINERALS LTD,"gold,cobalt,copper,nickel"
cr043664,"EPM 13892, FLETCHER'S AWL, ANNUAL REPORT FOR PERIOD ENDING 19/3/2006",19/03/2005,18/03/2006,19/04/2011,permit-report-annual,ROSS MCMASTER EXPLORATION GEOLOGIST,"gold,nickel"
cr043668,"EPM 10783, 10908, 11071, SELWYN PROJECT, COMBINED ANNUAL REPORT FOR PERIOD ENDING 31/3/2006",31/03/2005,30/03/2006,1/05/2011,permit-report-annual,IVANHOE CLONCURRY MINES PTY LTD,copper
cr043671,"EPM 9916 (ANTHILL-PYTHON), 11777 (JOHNSON CREEK), 12589 (KENNEDY GAP), 13739 (BUCKLEY RIVER), 14112 (CATTLE CREEK), BUCKLEY RIVER EXPLORATION PROJECT, COMBINED ANNUAL REPORT FOR PERIOD ENDING 15/2/2006",15/02/2005,14/02/2006,15/03/2011,permit-report-annual,INTERNATIONAL BASE METALS LIMITED,copper
cr043673,"EPM 13478, NEVANNA, ANNUAL REPORT FOR PERIOD 5/2/2005 TO 4/2/2006",4/02/2005,3/02/2006,4/03/2011,permit-report-annual,NR&M,sandstone
cr043693,"EPM 11343, NORMANBY, ANNUAL REPORT FOR PERIOD ENDING 12/9/2005",12/09/2004,11/09/2005,12/10/2010,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr043702,"EPM 13756, FAIRVIEW LIMESTONE, ANNUAL REPORT FOR PERIOD 24/10/2004 TO 23/10/2005",23/10/2004,22/10/2005,23/11/2010,permit-report-annual,METALLICA MINERALS LTD,limestone
cr043704,"EPM 8726, 9103, 9528, 10413, 12212, 12605, 13194, CRACOW PROJECT, COMBINED ANNUAL REPORT FOR PERIOD ENDING 30/6/2006",30/06/2005,29/06/2006,30/07/2011,permit-report-annual,NEWCREST MINING LTD,gold
cr043705,"EPC 958, WASHPOOL PROJECT, ANNUAL REPORT FOR PERIOD ENDING 2/6/2006",2/06/2005,1/06/2006,2/07/2011,permit-report-annual,AQUILA COAL PTY LTD,coal
cr043706,"MDL 352, ANNUAL REPORT FOR PERIOD 1/3/2005 TO 28/2/2006",28/02/2005,27/02/2006,28/03/2011,permit-report-annual,REPUBLIC COAL PTY LTD,coal
cr043722,"EPC 956 (GUNALDA), 957 (TIARO), COMBINED ANNUAL REPORT FOR PERIOD ENDING 21/6/2006",21/06/2005,20/06/2006,21/07/2011,permit-report-annual,GEODISCOVERY GROUP PTY LTD,coal
cr043737,"MDL 318, ANNUAL REPORT FOR PERIOD ENDING 31/12/2005",31/12/2004,30/12/2005,31/01/2011,permit-report-annual,MAPEX QUEENSLAND PTY LTD,NA
cr043738,"EPM 7968, 7971, 7973, 7981, 8282, 10906, 13251, 13353, 13416, 13702, 14430, HAZEL CREEK PROJECT, COMBINED ANNUAL REPORT FOR PERIOD ENDING 31/3/2006",31/03/2005,30/03/2006,1/05/2011,permit-report-annual,EXCO RESOURCES NL,"silver,gold,copper,lead,zinc"
cr043739,"MDL 185, JELLINBAH, ANNUAL REPORT FOR PERIOD ENDING 31/7/2005",31/07/2004,30/07/2005,31/08/2010,permit-report-annual,MAPEX QUEENSLAND PTY LTD,thermal-coal
cr043740,"MDL 185, JELLINBAH, ANNUAL REPORT FOR PERIOD ENDING 31/7/2006",31/07/2005,30/07/2006,31/08/2011,permit-report-annual,MAPEX QUEENSLAND PTY LTD,coal
cr043741,"EPC 777, BEE CREEK, ANNUAL REPORT FOR PERIOD ENDING 3/6/2006",3/06/2005,2/06/2006,3/07/2011,permit-report-annual,NEW HOPE COAL AUSTRALIA,coal
cr043743,"EPM 13643, SANDY CREEK, ANNUAL REPORT FOR PERIOD ENDING 20/6/2006",20/06/2005,19/06/2006,20/07/2011,permit-report-annual,REPUBLIC GOLD LTD,gold
cr043757,"EPM 12049, ANNUAL REPORT FOR PERIOD ENDING 14/9/2005",14/09/2004,13/09/2005,14/10/2010,permit-report-annual,S.W. HAYES AND ASSOCIATES,"gold,kaolin,oil-shale"
cr043774,"EPM 14593, ANNUAL REPORT FOR PERIOD ENDING 6/7/2006",6/07/2005,5/07/2006,6/08/2011,permit-report-annual,MAPEX QUEENSLAND PTY LTD,NA
cr043802,"MDL 355, ANNUAL REPORT FOR PERIOD ENDING 31/7/2005",31/07/2004,30/07/2005,31/08/2010,permit-report-annual,ENVIRONMENTAL AND LICENCING PROFESSIONALS PTY LTD,"apatite,ilmenite,platinum"
cr043806,"EPM 9681 (MOUNT OLIVE), 9867 (MOUNT WATSON), 11025 (MOUNT CUTHBERT), 11090 (HIDDEN TREASURE), 11387 (MOUNT CUTHBERT NORTH), COMBINED ANNUAL REPORT FOR PERIOD ENDING 16/2/2006",16/02/2005,15/02/2006,16/03/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr043819,"EPM 14738, HODGKINSON CREEK, ANNUAL REPORT FOR PERIOD ENDING 22/9/2006",22/09/2005,21/09/2006,22/10/2011,permit-report-annual,REPUBLIC GOLD LTD,"gold,tungsten"
cr043821,"EPC 769, CAPRICORN, ANNUAL REPORT FOR PERIOD ENDING 3/9/2006",3/09/2005,2/09/2006,3/10/2011,permit-report-annual,LANCE GRIMSTONE & ASSOCIATES PTY LTD,coal
cr043822,"EPM 14739, MAITLAND DOWNS, ANNUAL REPORT FOR PERIOD ENDING 22/8/2006",22/08/2005,21/08/2006,22/09/2011,permit-report-annual,REPUBLIC GOLD LTD,"gold,tungsten"
cr043823,"EPC 852, GIBIHI ROAD, ANNUAL REPORT FOR PERIOD ENDING 14/3/2005",14/03/2004,13/03/2005,14/04/2010,permit-report-annual,ANGLO COAL AUSTRALIA PTY LTD,coal
cr043824,"EPM 11683 (BUSHMILL), 14234 (BROWNS CREEK), COMBINED ANNUAL REPORT FOR PERIOD ENDING 5/7/2006 AND 2/8/2006",4/07/2006,1/08/2006,2/09/2011,permit-report-annual,XSTRATA COPPER AUSTRALIA,copper
cr043827,"MDL 85, TREKELANO, ANNUAL REPORT FOR PERIOD ENDING 30/9/2005",30/09/2004,29/09/2005,30/10/2010,permit-report-annual,HETHERINGTON TITLE SERVICES,"gold,copper"
cr043828,"EPM 14177, ANNUAL REPORT FOR PERIOD 3/8/2005 TO 2/8/2006",2/08/2005,1/08/2006,2/09/2011,permit-report-annual,MINING TENEMENT SERVICES,"gold,copper,sandstone"
cr043830,"EPM 13944, ANNUAL REPORT FOR PERIOD ENDING 16/8/2006",16/08/2005,15/08/2006,16/09/2011,permit-report-annual,SELF,gold
cr043832,"EPC 969, BOOYAN, ANNUAL REPORT FOR PERIOD ENDING 2/8/2006",2/08/2005,1/08/2006,2/09/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,coal
cr043834,"EPM 8257, YANDAN, ANNUAL REPORT FOR PERIOD 1/9/2005 TO 31/8/2006",31/08/2005,30/08/2006,1/10/2011,permit-report-annual,STRAITS RESOURCES LTD,"gold,copper"
cr043887,"EPM 14232 (TRAFALGAR), 14386 (BINNA BURRA), 14398 (BALLARA), MOUNT ISA PROJECT, COMBINED ANNUAL REPORT FOR PERIOD ENDING 2/8/2006",2/08/2005,1/08/2006,2/09/2011,permit-report-annual,COMPUTER AIDED GEOSCIENCE PTY LTD,"gold,copper,molybdenite"
cr043889,"EPM 13829, TEWINGA, ANNUAL REPORT FOR PERIOD ENDING 9/3/2006",9/03/2005,8/03/2006,9/04/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr043890,"EPM 13204, NATALIE SOUTH, FINAL REPORT FOR PERIOD ENDING 15/5/2006",14/05/2006,14/05/2006,15/05/2006,permit-report-final,MINING TENEMENT SERVICES,"silver,gold,copper"
cr043899,"EPM 11897, 11898, MAY DOWNS PROJECT, COMBINED ANNUAL REPORT FOR PERIOD ENDING 22/6/2006",22/06/2005,21/06/2006,22/07/2011,permit-report-annual,SUMMIT RESOURCES AUST PTY LTD,"gold,copper,lead,uranium,zinc"
cr043945,"EPM 14416, BRIGHTLANDS, ANNUAL REPORT FOR PERIOD ENDING 4/8/2006",4/08/2005,3/08/2006,4/09/2011,permit-report-annual,NEWCREST MINING LTD,"gold,copper"
cr043947,"EPM 9453, 9680, MICLERE PROJECT, COMBINED ANNUAL REPORT FOR PERIOD 18/7/2005 TO 18/7/2006",17/07/2005,17/07/2006,18/08/2011,permit-report-annual,SEDIMENTARY HOLDINGS LTD,gold
cr043948,"EPM 13066, KENNEDY GAP, ANNUAL REPORT FOR PERIOD ENDING 22/6/2006",22/06/2005,21/06/2006,22/07/2011,permit-report-annual,SUMMIT RESOURCES AUST. PTY. LTD.,"gold,copper,lead,uranium,zinc"
cr043979,"EPM 14672, ANNUAL REPORT FOR PERIOD ENDING 26/7/2006",26/07/2005,25/07/2006,26/08/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr043981,"EPC 531, 646, COPPABELLA PROJECT, COMBINED ANNUAL REPORT FOR PERIOD ENDING 10/6/2006",10/06/2005,9/06/2006,10/07/2011,permit-report-annual,THE TABBERABBERA HOLDING COMPANY,coal
cr043982,"EPM 14558, ANNUAL REPORT FOR PERIOD ENDING 25/7/2006",25/07/2005,24/07/2006,25/08/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr043983,"EPM 14367, SPIDER, ANNUAL REPORT FOR PERIOD 21/7/2005 TO 20/7/2006",20/07/2005,19/07/2006,20/08/2011,permit-report-annual,UNIVERSAL RESOURCES LTD,"copper,lead,uranium,zinc"
cr043999,"EPC 728, MILLENNIUM MINE, ANNUAL REPORT FOR PERIOD ENDING 16/4/2006",16/04/2005,15/04/2006,16/05/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,coal
cr044002,"EPM 14415 (MOUNT MALAKOFF), 14614 (MOUNT MARGARET WEST), COMBINED ANNUAL REPORT FOR PERIOD ENDING 1/8/2006",1/08/2005,31/07/2006,1/09/2011,permit-report-annual,NEWCREST MINING LTD,"gold,copper"
cr044003,"EPM 13033, VALHALLA WEST, ANNUAL REPORT FOR PERIOD ENDING 22/6/2006",22/06/2005,21/06/2006,22/07/2011,permit-report-annual,SUMMIT RESOURCES AUST. PTY. LTD.,"gold,copper,lead,uranium,zinc"
cr044005,"MDL 85, TREKELANO, FINAL REPORT FOR PERIOD ENDING 15/12/2005",14/12/2005,14/12/2005,15/12/2005,permit-report-final,HETHERINGTON TITLE SERVICES,"gold,copper"
cr044019,"EPM 4068, SKARDON, ANNUAL REPORT FOR PERIOD ENDING 11/8/2006",11/08/2005,10/08/2006,11/09/2011,permit-report-annual,GEOS MINING,"aluminium,kaolin"
cr044040,"EPC 610, GATTONVALE, ANNUAL REPORT FOR PERIOD ENDING 12/9/2006",12/09/2005,11/09/2006,12/10/2011,permit-report-annual,NCA COAL PROJECT PTY LTD (XSTRATA),coal
cr044041,"EPM 13368, MARONAN PROJECT, ANNUAL REPORT FOR PERIOD ENDING 25/6/2006",25/06/2005,24/06/2006,25/07/2011,permit-report-annual,BHP BILLITON - NICKEL WEST,"silver,copper,lead,zinc"
cr044099,"EPM 12755, ANNUAL REPORT FOR PERIOD ENDING 15/9/2005",15/09/2004,14/09/2005,15/10/2010,permit-report-annual,S.W. HAYES AND ASSOCIATES,"kaolin,oil-shale"
cr044140,"PL 204, OEC SPRING GULLY 31, WORKOVER PROGRAM - POST FRAC (PROPOSAL)",26/10/2006,26/10/2006,27/10/2011,hydraulic-fracturing-activity-report,ORIGIN ENERGY CSG LTD,coal-bed-methane
cr044179,"EPM 13757, ANNUAL REPORT FOR PERIOD ENDING 9/10/2005",9/10/2004,8/10/2005,9/11/2010,permit-report-annual,CONSULTANT,"gold,dolomite,palygorskite"
cr044240,"EPM 14312, 14313, ALICE RIVER MINERAL FIELD, COMBINED ANNUAL REPORT FOR PERIOD ENDING 12/7/2006",12/07/2005,11/07/2006,12/08/2011,permit-report-annual,BREMAR MINERALS PTY LTD,"silver,gold,nickel"
cr044243,"EPM 12227, PINNACLES, ANNUAL REPORT FOR PERIOD ENDING 22/6/2006",22/06/2005,21/06/2006,22/07/2011,permit-report-annual,REPUBLIC GOLD LTD,"gold,tin"
cr044244,"EPM 12229, BIG WATSON, ANNUAL REPORT FOR PERIOD ENDING 22/6/2006",22/06/2005,21/06/2006,22/07/2011,permit-report-annual,REPUBLIC GOLD LTD,gold
cr044247,"EPM 13228, MIDGEE CREEK, ANNUAL REPORT FOR PERIOD 18/7/2005 TO 17/7/2006",17/07/2005,16/07/2006,17/08/2011,permit-report-annual,QUEENSLAND ENERGY RESOURCES LIMITED,oil-shale
cr044248,"EPM 14370, MALAKOFF, ANNUAL REPORT FOR PERIOD 21/7/2005 TO 20/7/2006",20/07/2005,19/07/2006,20/08/2011,permit-report-annual,UNIVERSAL RESOURCES LTD,"gold,copper,uranium"
cr044249,"EPM 11919, CAMERON RIVER, ANNUAL REPORT FOR PERIOD ENDING 15/7/2006",15/07/2005,14/07/2006,15/08/2011,permit-report-annual,INTERNATIONAL BASE METALS LIMITED,"gold,copper"
cr044253,"EPM 10688, CARDIGAN, FINAL REPORT FOR PERIOD ENDING 15/5/2006",14/05/2006,14/05/2006,15/05/2006,permit-report-final,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044254,"EPM 13207, CHIPPENDALE, FINAL REPORT FOR PERIOD ENDING 15/5/2006",14/05/2006,14/05/2006,15/05/2006,permit-report-final,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044256,"EPM 11195, 11582, 11583, 11584, 12130, 14145, COMBINED ANNUAL REPORT FOR PERIOD 15/8/2005 TO 14/8/2006",14/08/2005,13/08/2006,14/09/2011,permit-report-annual,GLADSTONE PACIFIC NICKEL,"cobalt,nickel"
cr044257,"EPM 10652, NATALIE, FINAL REPORT FOR PERIOD ENDING 15/5/2006",14/05/2006,14/05/2006,15/05/2006,permit-report-final,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044258,"EPM 14366, BUSHY PARK, ANNUAL REPORT FOR PERIOD ENDING 20/7/2006",20/07/2005,19/07/2006,20/08/2011,permit-report-annual,UNIVERSAL RESOURCES,"gold,copper"
cr044260,"EPM 14111 (MAYFIELD 2), 14120 (MALBON 2), 14355 (BUNGALIEN), COMBINED ANNUAL REPORT FOR PERIOD ENDING 8/8/2006",8/08/2005,7/08/2006,8/09/2011,permit-report-annual,NEWCREST MINING LTD,"gold,copper"
cr044262,"EPM 12766, ERMINE PROJECT, ANNUAL REPORT FOR PERIOD 22/4/2005 TO 21/4/2006",21/04/2005,20/04/2006,21/05/2011,permit-report-annual,TERRA SEARCH PTY LTD,"silver,gold,copper,lead,zinc"
cr044263,"EPM 11692, MOUNT BIRNIE, ANNUAL REPORT FOR PERIOD ENDING 4/8/2006",4/08/2005,3/08/2006,4/09/2011,permit-report-annual,INTERNATIONAL BASE METALS LIMITED,"gold,copper"
cr044265,"EPM 11670, GUN CREEK, ANNUAL REPORT FOR PERIOD 19/8/2005 TO 18/8/2006",18/08/2005,17/08/2006,18/09/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,copper
cr044268,"EPM 15067, ANNUAL REPORT FOR PERIOD ENDING 11/7/2006",11/07/2005,10/07/2006,11/08/2011,permit-report-annual,SOLE TRADER,"gold,copper"
cr044269,"EPM 13667, PAJINGO SOUTH, ANNUAL REPORT FOR PERIOD 20/3/2005 TO 19/3/2006",19/03/2005,18/03/2006,19/04/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,gold
cr044271,"EPM 11453, 11711, 11773, 12195, 12374, 12747, RIVERSLEIGH EXTENDED PROJECT, COMBINED ANNUAL REPORT FOR PERIOD 20/9/2005 TO 19/9/2006",19/09/2005,18/09/2006,19/10/2011,permit-report-annual,SMARTTRANS HOLDINGS LTD,"silver,lead,zinc"
cr044275,"EPM 8837, 9919, 10037, 10691, 11874, 12026, 12199, 12200, 12286, 12292, 12304, 12556, 13012, 13017, 13023, 13063, 13279, 13338, 13832, 14135, 14189, BLACK ROCK PROJECT, COMBINED ANNUAL/FINAL REPORT FOR PERIOD ENDING 10/3/2006",9/03/2006,9/03/2006,10/03/2006,permit-report-final,EXCO RESOURCES NL,"silver,gold,copper,lead,zinc"
cr044277,"EPM 13415, PAROO, ANNUAL REPORT FOR PERIOD ENDING 6/7/2006",6/07/2005,5/07/2006,6/08/2011,permit-report-annual,SUMMIT RESOURCES AUST PTY LTD,"silver,gold,copper,lead,uranium,zinc"
cr044278,"EPM 13417, WAGGABOONYAH, ANNUAL REPORT FOR PERIOD ENDING 7/7/2006",7/07/2005,6/07/2006,7/08/2011,permit-report-annual,SUMMIT RESOURCES AUST PTY LTD,"copper,lead,uranium,zinc"
cr044279,"EPM 14008, PEGMONT EXTENDED, ANNUAL/FINAL REPORT FOR PERIOD ENDING 11/8/2006",10/08/2006,10/08/2006,11/08/2006,permit-report-final,HETHERINGTON TITLE SERVICES,"lead,zinc"
cr044283,"EPM 15021, RUXTON/SANDY, ANNUAL REPORT FOR PERIOD ENDING 27/4/2006",27/04/2005,26/04/2006,27/05/2011,permit-report-annual,"SAINSBURY, J",tin
cr044294,"EPM 12597, CORELLA RIVER, ANNUAL REPORT FOR PERIOD ENDING 11/8/2006",11/08/2005,10/08/2006,11/09/2011,permit-report-annual,XSTRATA COPPER AUSTRALIA,"gold,copper"
cr044296,"EPM 14706, ANNUAL REPORT FOR PERIOD ENDING 18/2/2006",18/02/2005,17/02/2006,18/03/2011,permit-report-annual,NA,opal
cr044297,"EPM 14628, COOMINGLAH, ANNUAL REPORT FOR PERIOD ENDING 23/8/2006",23/08/2005,22/08/2006,23/09/2011,permit-report-annual,ENVIRONMENTAL AND LICENCING PROFESSIONALS PTY LTD,"copper,titanium"
cr044299,"EPM 12561, FOUNTAIN RANGE, ANNUAL REPORT FOR PERIOD ENDING 9/8/2006",9/08/2005,8/08/2006,9/09/2011,permit-report-annual,XSTRATA COPPER AUSTRALIA,"gold,copper"
cr044304,"EPM 14295, MONAKOFF WEST, MOUNT MARGARET PROJECT, ANNUAL REPORT FOR PERIOD ENDING 12/5/2006",12/05/2005,11/05/2006,12/06/2011,permit-report-annual,EXCO RESOURCES NL,"silver,gold,cobalt,copper,lead,zinc"
cr044307,"EPM 14047, ANDERSONS, ANNUAL REPORT FOR PERIOD ENDING 13/9/2006",13/09/2005,12/09/2006,13/10/2011,permit-report-annual,SUMMIT RESOURCES AUST PTY LTD,"gold,copper,lead,uranium,vanadium,zinc"
cr044312,"EPM 11669, EASTERN CREEK, ANNUAL REPORT FOR PERIOD 18/8/2005 TO 17/8/2006",17/08/2005,16/08/2006,17/09/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,"gold,copper"
cr044313,"EPM 15134, GAYNDAH, ANNUAL REPORT FOR PERIOD 30/9/2005 TO 29/9/2006",29/09/2005,28/09/2006,29/10/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044315,"EPM 11637, REDIE CREEK, ANNUAL REPORT FOR PERIOD ENDING 18/8/2006",18/08/2005,17/08/2006,18/09/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,"silver,gold,copper,zinc"
cr044338,"EPM 12180, SAINT ANDREWS EXTENDED, ANNUAL REPORT FOR PERIOD ENDING 1/8/2006",1/08/2005,31/07/2006,1/09/2011,permit-report-annual,XSTRATA COPPER EXPLORATION,"gold,copper"
cr044339,"EPM 9611, HAPPY VALLEY PROJECT, ANNUAL REPORT FOR PERIOD ENDING 25/8/2006",25/08/2005,24/08/2006,25/09/2011,permit-report-annual,UNIVERSAL RESOURCES,"gold,copper"
cr044343,"EPM 14078, MOUNT BATTERY NORTH, MOUNT MORGAN PROJECT, ANNUAL REPORT FOR PERIOD ENDING 19/10/2006",19/10/2005,18/10/2006,19/11/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044345,"EPM 15010, ANNUAL REPORT FOR PERIOD ENDING 18/7/2006",18/07/2005,17/07/2006,18/08/2011,permit-report-annual,GREEN COAST RESOURCES PTY LTD,ilmenite
cr044348,"EPM 14116 (CLERMONT EAST), 14117 (CAPELLA), COMBINED ANNUAL REPORT FOR PERIOD 23/10/2005 TO 22/10/2006",22/10/2005,21/10/2006,22/11/2011,permit-report-annual,STRAITS RESOURCES LTD,gold
cr044352,"ATP 593, MERIVALE HIGH, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/2004",30/03/2004,29/09/2004,30/09/2009,permit-report-six-month,ARROW ENERGY NL,petroleum
cr044357,"EPM 14253, CALLIOPE, ANNUAL REPORT FOR PERIOD 20/9/2005 TO 19/9/2006",19/09/2005,18/09/2006,19/10/2011,permit-report-annual,UNIMIN AUSTRALIA LTD,limestone
cr044367,"EPM 14161, 14162, CHARTERS TOWERS PROJECT, ANNUAL REPORT FOR PERIOD 14/6/2005 TO 13/6/2006",13/06/2005,12/06/2006,13/07/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,"silver,gold,copper,lead,zinc"
cr044394,"EPM 9632 (CAVE CREEK), 10719 (LITTLE JOHN), 11237 (BAR CREEK), 11238 (MUD SPRINGS DAM), AGATE CREEK PROJECT, COMBINED ANNUAL REPORT FOR PERIOD ENDING 11/10/2006",11/10/2005,10/10/2006,11/11/2011,permit-report-annual,RENISON CONSOLIDATED MINES NL,gold
cr044397,"EPM 14104, WALSH RIVER EXTENDED, ANNUAL REPORT FOR PERIOD 26/8/2005 TO 25/8/2006",25/08/2005,24/08/2006,25/09/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,gold
cr044400,"EPM 14737, SPRING CREEK, ANNUAL REPORT FOR PERIOD ENDING 12/11/2006",12/11/2005,11/11/2006,12/12/2011,permit-report-annual,REPUBLIC GOLD LTD,"gold,tungsten"
cr044405,"EPM 14107, BALCOOMA EXTENDED 2, ANNUAL REPORT FOR PERIOD 26/8/2005 TO 25/8/2006",25/08/2005,24/08/2006,25/09/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,"gold,copper,lead,zinc"
cr044424,"EPM 7797 (RIVERSLEIGH), 10199 (THORNTONIA), 11130 (BRENDA CREEK), COMBINED ANNUAL REPORT FOR PERIOD SEPTEMBER 2005 TO AUGUST 2006",31/08/2005,30/08/2006,1/10/2011,permit-report-annual,SMARTTRANS HOLDINGS LTD,"silver,lead,zinc"
cr044425,"EPM 14108, WALSH RIVER EXTENDED 2, ANNUAL REPORT FOR PERIOD 26/8/2005 TO 25/8/2006",25/08/2005,24/08/2006,25/09/2011,permit-report-annual,HETHERINGTON TITLE SERVICES,gold
cr044431,"EPM 13825, MOUNT VICTORIA, MOUNT MORGAN PROJECT, ANNUAL REPORT FOR PERIOD ENDING 9/7/2006",9/07/2005,8/07/2006,9/08/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044432,"EPM 14095, MOUNT CHALMERS 2, ANNUAL REPORT FOR PERIOD ENDING 2/8/2006",2/08/2005,1/08/2006,2/09/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044436,"EPM 14435, STATION, MOUNT MORGAN PROJECT, ANNUAL REPORT FOR PERIOD ENDING 27/6/2006",27/06/2005,26/06/2006,27/07/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044438,"EPM 8454 (YELDHAM), 8937 (BLUEBUSH), 10493 (PELICAN WATERHOLE), 10576 (BARKLY SWAMP), LAWN HILL PROJECT, COMBINED ANNUAL REPORT FOR PERIOD ENDING 11/11/2006",11/11/2005,10/11/2006,11/12/2011,permit-report-annual,ANGLO AMERICAN EXPLORATION (AUSTRALIA) PTY LTD,"silver,copper,lead,zinc"
cr044440,"EPM 14772, WHITE RANGE 5, ANNUAL REPORT FOR PERIOD ENDING 22/9/2006",22/09/2005,21/09/2006,22/10/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044443,"EPM 13049, ROCKLANDS GROUP PROJECT, ANNUAL REPORT FOR PERIOD ENDING 7/10/2006",7/10/2005,6/10/2006,7/11/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044449,"EPM 14309, KAMARGA, ANNUAL REPORT FOR PERIOD ENDING 12/9/2006",12/09/2005,11/09/2006,12/10/2011,permit-report-annual,COPPER STRIKE LTD,"silver,lead,zinc"
cr044451,"EPM 14854, WALFORD EAST, ANNUAL REPORT FOR PERIOD ENDING 21/11/2006",21/11/2005,20/11/2006,21/12/2011,permit-report-annual,COPPER STRIKE LTD,"silver,copper,lead,zinc"
cr044452,"EPM 9563, MOUNT SHAMROCK, ANNUAL REPORT FOR PERIOD ENDING 2/11/2006",2/11/2005,1/11/2006,2/12/2011,permit-report-annual,TENEMENT ADMINISTRATION SERVICES,gold
cr044453,"EPM 14163, WHITE RANGE 2, ANNUAL REPORT FOR PERIOD ENDING 18/10/2006",18/10/2005,17/10/2006,18/11/2011,permit-report-annual,MINING TENEMENT SERVICES,"silver,gold,copper"
cr044456,"EPM 14694, MOUNT KELLY, ANNUAL REPORT FOR PERIOD ENDING 18/10/2006",18/10/2005,17/10/2006,18/11/2011,permit-report-annual,SUMMIT RESOURCES AUST PTY LTD,"copper,uranium"
